Indicator,Year,Value,Unit,Confidence,RawText,DisplayValue,Source,Method,CanonicalIndicator,Category,Canonical Name,Indicator Name,FileRef,page_content,SourceURL
Unemployment Rate,2013,35.0,%,100,"The youth  unemployment rate rose from 25% in the 1990s to 35% in the early 2010s (ONEQ, 2013[2]).",35.0 %,51e7a341-en.pdf,Alias,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,,,
Unemployment Rate,2005,62.0,%,100,0 5 10 15 20 25 30 35 40 15-24 25-29 30-34 35-62 % B. Unemployment rate by age group 2005 2017 0 2000 4000 6000 8000 10000 1960 1965 1970 1975 1980 1985 1990 1995 2000 2005 2010 2015 2020 2025 2030 2035 2040 Thousand  people A. Evolution of the population by age group 0-14 15-62 62+ 8  ECO/WKP(2022)28  IMPROVING SKILLS AND EMPLOYMENT OPPORTUNITIES IN TUNISIA  Unclassified  Figure 3.,62.0 %,51e7a341-en.pdf,Alias,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,,,
Population,2005,14.0,,85,0 5 10 15 20 25 30 35 40 15-24 25-29 30-34 35-62 % B. Unemployment rate by age group 2005 2017 0 2000 4000 6000 8000 10000 1960 1965 1970 1975 1980 1985 1990 1995 2000 2005 2010 2015 2020 2025 2030 2035 2040 Thousand  people A. Evolution of the population by age group 0-14 15-62 62+ 8  ECO/WKP(2022)28  IMPROVING SKILLS AND EMPLOYMENT OPPORTUNITIES IN TUNISIA  Unclassified  Figure 3.,14,51e7a341-en.pdf,Alias,Population,Demographics,Population,Population,,,
Merchandise Exports (current Usd),2002,5.4,%,100,"Due to the  phasing-out of the Multi-fibre Arrangement and increasing competition from China, their share in GDP has  declined from 5.4% in 2002 to 2.5% in 2019, and their share in total merchandise exports from 49% to  21%, respectively (OECD calculations based on data from INS).",5.4 %,51e7a341-en.pdf,Alias,Merchandise Exports (current Usd),Trade,Merchandise Exports (current Usd),Merchandise Exports (current Usd),,,
Merchandise Exports (current Usd),2002,2.5,%,100,"Due to the  phasing-out of the Multi-fibre Arrangement and increasing competition from China, their share in GDP has  declined from 5.4% in 2002 to 2.5% in 2019, and their share in total merchandise exports from 49% to  21%, respectively (OECD calculations based on data from INS).",2.5 %,51e7a341-en.pdf,Alias,Merchandise Exports (current Usd),Trade,Merchandise Exports (current Usd),Merchandise Exports (current Usd),,,
Population,2020,6.0,,70,"The significant increase of the young population since the 1990s in combination with rising  enrolment rates have put enormous pressures on the education system, which have not been managed  well (UNICEF, 2020[6]).",6,51e7a341-en.pdf,Alias,Population,Demographics,Population,Population,,,
Households (housing),2020,2019.0,,85,"Combining modern and less-academic learning  standards and curricula with new teaching methods to foster group-work and self-initiative would not only  favour children from lower income households, who could benefit from more engagement and cooperation  with other classmates, but would also help developing entrepreneurial skills which many graduates are  currently lacking (UNICEF, 2020[6]; IACE, 2019[12]).","2,019",51e7a341-en.pdf,Alias,Households (housing),Households,Households (housing),Households (housing),,,
Households (housing),2020,2021.0,,85,"Thus, improving access to early childhood education for children from low-income households  should be complemented with continued efforts to eradicate extreme poverty, raise access to universal  health care and improve water and sanitation services in schools and communities (UNICEF, 2020[6];  Benstead, 2021[66]).","2,021",51e7a341-en.pdf,Alias,Households (housing),Households,Households (housing),Households (housing),,,
National Income,2018,100.0,%,100,"CRI USA IDN COL SVK CHL FIN MEX AUS BRA LTU CZE LUX NLD AUT PRT SVN EST JPN HUN LVA ITA SWE DEU KOR NOR ISL ESP BEL DNK FRA IRL ISR GBR A. Enrolment rate, 3-5 years, 2018 % 0 10 20 30 40 50 60 70 80 90 100 Percentage of children aged 36 to 59 months attending preschool % B. Participation in early- childhood education, 2018 First income quintile (poorest) Second income quintile",100 %,51e7a341-en.pdf,Alias,National Income,National Accounts,National Income,National Income,,,
Merchandise Exports (current Usd),2019,45.0,%,100,"In 2019, it  represented 45% of services exports (or 13% of total exports), generating important foreign currency inflows  (Figure 30).",45.0 %,51e7a341-en.pdf,Alias,Merchandise Exports (current Usd),Trade,Merchandise Exports (current Usd),Merchandise Exports (current Usd),,,
Merchandise Exports (current Usd),2019,13.0,%,100,"In 2019, it  represented 45% of services exports (or 13% of total exports), generating important foreign currency inflows  (Figure 30).",13.0 %,51e7a341-en.pdf,Alias,Merchandise Exports (current Usd),Trade,Merchandise Exports (current Usd),Merchandise Exports (current Usd),,,
Gross Domestic Product (gdp) At Market Prices,2010,2011.0,,85,"Decreasing value  added and labour productivity keep wages low and many firms do not invest enough in training, nor do they  provide sufficient opportunities for professional development or an attractive working environment  0 10 20 30 40 50 60 0 1 2 3 4 5 6 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 % % of  GDP B. Tourism receipts Tourism receipts annualised, sa, LHS Tourism receipts % of total services; sa 0 20 40 60 80 100 120 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 Index Jan- 2010=100 A. Tourism non-residents Arrivals, person, sa Nights by non-residents, sa 40  ECO/WKP(2022)28  IMPROVING SKILLS AND EMPLOYMENT OPPORTUNITIES IN TUNISIA  Unclassified  Positive examples exist, where firms have introduced incentive systems and career development  strategies.","2,011",51e7a341-en.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Merchandise Exports (current Usd),2019,12.0,%,100,"However, to | 
 | Since the early 2000s, the automotive industry has become an important driver of exports and | 
 | international firms (as of 2019), and production and exports have grown by around 12% per year from |",12.0 %,51e7a341-en.pdf,Alias,Merchandise Exports (current Usd),Trade,Merchandise Exports (current Usd),Merchandise Exports (current Usd),,,
Gross Domestic Product (gdp) At Market Prices,2019,4.0,%,100,"These activities related to the automotive industry contributed around 4% of GDP in 2019 (TIA, 2020[87]).",4.0 %,51e7a341-en.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Gross Domestic Product (gdp) At Market Prices,2015,0.1,%,100,"Improving continuing vocational education and training policies   Public spending for continuing VET policies, at 0.1% of GDP, is slightly below the OECD average, and is  financed through a training levy designed as a payroll tax for firms (OECD, 2015[7]).",0.1 %,51e7a341-en.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Unemployment Rate,2022,17.0,%,100,"Although the public employment agency is providing training linked to wage subsidies for registered  unemployed workers, in case they find a new employer, only about 17% of all the unemployed are ECO/WKP(2022)28  51  IMPROVING SKILLS AND EMPLOYMENT OPPORTUNITIES IN TUNISIA  Unclassified  registered and it takes on average around 26 months for them to find a new employer to benefit from  training subsidies (Boughzala, 2019[1]).",17.0 %,51e7a341-en.pdf,Alias,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,,,
Gross Domestic Product (gdp) At Market Prices,2017,0.9,%,100,"Although spending for active labour market policies, at 0.9% of GDP in 2017, is significantly above the  OECD average of 0.5% of GDP, the design and implementation of these policies is weak due to a lack of  coordination and impact evaluation (World Bank, 2021[77]).",0.9 %,51e7a341-en.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Unemployment Rate,2021,0.5,%,100,"The public employment agency (ANETI) manages wage and training subsidies for the unemployed, job  placement services as well as some programs to promote entrepreneurship and self-employment, with  total spending of about 0.5% of GDP (World Bank, 2021[77]).",0.5 %,51e7a341-en.pdf,Alias,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,,,
Government Budget Balance (% Of Gdp),2022,0.2,%,100,"The promotion of entrepreneurship and distribution  of micro-credits is mainly managed by a public bank with a budget of around 0.2% of GDP, but programmes 54  ECO/WKP(2022)28  IMPROVING SKILLS AND EMPLOYMENT OPPORTUNITIES IN TUNISIA  Unclassified  targeting women in remote areas or youth are administered by other ministries.",0.2 %,51e7a341-en.pdf,Alias,Government Budget Balance (% Of Gdp),National Accounts,Government Budget Balance (% Of Gdp),Government Budget Balance (% Of Gdp),,,
Unemployment Rate,2015,0.9,%,100,"Unemployment assistance is financed by a 0.9% tax on wages,  but only 6% of dismissed formal workers receive such benefits (Angel-Urdinola, Nucifora and Robalino,  2015[5]).",0.9 %,51e7a341-en.pdf,Alias,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,,,
Unemployment Rate,2015,6.0,%,100,"Unemployment assistance is financed by a 0.9% tax on wages,  but only 6% of dismissed formal workers receive such benefits (Angel-Urdinola, Nucifora and Robalino,  2015[5]).",6.0 %,51e7a341-en.pdf,Alias,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,,,
Gross Domestic Product (gdp) At Market Prices,2019,100.0,%,100,"Portugal Greece Spain Turkey OECD Poland Denmark Tunisia Morocco Mexico 0 20000 40000 60000 80000 100000 120000 140000 0 10 20 30 40 50 60 GDP per worker  Tax wedge for a single person without children earning 100% of the average wage (% in total labor costs) A. Labour tax wedge (in %) and labour productivity across countries, 2019 ECO/WKP(2022)28  59  IMPROVING SKILLS AND EMPLOYMENT OPPORTUNITIES IN TUNISIA  Unclassified  productive compared to peers with the same occupation, seniority and education level.",100 %,51e7a341-en.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Unemployment Rate,2020,86.0,%,100,"| unemployment of young tertiary graduates is high (Figure 3, Figure 6) Improving the digital | 
 | ups, as it simplifies administrative burden, facilitates operations in foreign currency and provides income | 
 | with the right skills set, although unemployment among graduates in the corresponding fields of studies | 
 | supplier of the EU market, with a 86% volume share in October 2020-March 2021.",86.0 %,51e7a341-en.pdf,Alias,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,,,
Inflation,2022,1.0,,70,"TUNISIA 2022 © OECD 2022     Table of contents  Foreword  3  Executive summary  10  1 Key policy insights  15  To be fast and sustainable, the post-pandemic recovery should be built on sound reforms  16  A quick policy reaction has helped mitigate the social and economic impacts of the pandemic  18  The pandemic hit most sectors and inflation rose again  21  Stumbling imports and resilient remittances reduced the current account deficit.",1,7f9459cf-en.pdf,Alias,Inflation,Prices,Inflation,Inflation,,,
Inflation,2022,21.0,,85,"TUNISIA 2022 © OECD 2022     Table of contents  Foreword  3  Executive summary  10  1 Key policy insights  15  To be fast and sustainable, the post-pandemic recovery should be built on sound reforms  16  A quick policy reaction has helped mitigate the social and economic impacts of the pandemic  18  The pandemic hit most sectors and inflation rose again  21  Stumbling imports and resilient remittances reduced the current account deficit.",21,7f9459cf-en.pdf,Alias,Inflation,Prices,Inflation,Inflation,,,
Population,2017,99.6,,85,"Renewable internal freshwater resources per capita (1  000 m³, 2017)  0.4    Exposure to air pollution (more than 10 g/m³ of PM  2.5, % of population)  99.6  (61.7)         SOCIETY  Income inequality (Gini coefficient, 2015, OECD:  latest available)  0.328  (0.318)",100,7f9459cf-en.pdf,Alias,Population,Demographics,Population,Population,,,
Population,2017,1.0,,70,"Renewable internal freshwater resources per capita (1  000 m³, 2017)  0.4    Exposure to air pollution (more than 10 g/m³ of PM  2.5, % of population)  99.6  (61.7)         SOCIETY  Income inequality (Gini coefficient, 2015, OECD:  latest available)  0.328  (0.318)",1,7f9459cf-en.pdf,Alias,Population,Demographics,Population,Population,,,
Final Consumption,2021,2022.0,,85,"The recovery will be slow  (annual growth rates, unless specified)  2021  2022  2023  Gross domestic product (GDP)  2.9  3.2  3.0  Private consumption  2.6  2.4  3.3  Government consumption  -0.9  0.4  -1.2  Gross fixed capital formation  -5.3  5.0  7.6  Exports of goods and services  8.2  7.3  6.7  Imports of goods and services  6.8  5.5  5.9  Unemployment rate (% of labour force)  17.7  17.0  16.4  Consumer price index  5.6  6.3  5.8  Fiscal balance (% of GDP)","2,022",7f9459cf-en.pdf,Alias,Final Consumption,Expenditure,Final Consumption,Final Consumption,,,
Gross Domestic Product (gdp) At Market Prices,2020,8.8,%,100,The COVID-19 recession has hit an economy that was already weak and resulted in an unprecedented  real GDP contraction of 8.8% in 2020.,8.8 %,7f9459cf-en.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Gross Domestic Product (gdp) At Market Prices,2020,2.3,%,100,The 2020 emergency fiscal package amounted to TND 2.6 billion (2.3% of GDP) in direct measures.,2.3 %,7f9459cf-en.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Gross Domestic Product (gdp) At Market Prices,2020,0.2,%,100,"At end-2020, it had received TND 204 million (0.2% of GDP).",0.2 %,7f9459cf-en.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Gross Domestic Product (gdp) At Market Prices,2016,2017.0,,85,"Fugitive from energy production Other fuel combustion Buildings Waste Agriculture Industry Manufacturing/construction energy Transport Electricity & heat C. GHG emissions by sector Share of sector (in %) 2016 2012 0 0.05 0.1 0.15 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 B. Energy intensity Energy supply per GDP Tunisia OECD Ktoe/USD (2015 PPP) 0% 5% 10% 15% 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 D. Renewable energy  % of energy supply Tunisia OECD 0 0.1 0.2 0.3 0.4 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 A. CO2 intensity CO2 per GDP Tunisia (demand-based) OECD (demand-based) Tunisia (production-based) OECD (production-based) Kg/USD, 2015 PPP  69  OECD ECONOMIC SURVEYS:","2,017",7f9459cf-en.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Merchandise Exports (current Usd),2016,2017.0,,85,5 10 15 2016 2017 2018 2019 2020 2021 %  C. Growth of goods and services exports  TUN OECD OECD benchmark countries -25,"2,017",7f9459cf-en.pdf,Alias,Merchandise Exports (current Usd),Trade,Merchandise Exports (current Usd),Merchandise Exports (current Usd),,,
